Province,Country,uid,Date,Total Confirmed Cases,Total Deaths,Total Recovered,Active Cases,New Cases,New Deaths,New Recovered,Closed cases,Death Rate Based on Confirmed cases,Death Rate Based on Closed cases,Lat Lang,Benchmark
Hubei,China,China - Hubei,2020-01-22,444,17,28,399,0,0,0.0,17.0,0.038,1.0,"30.9756,112.2707",0.02
,El Salvador,El Salvador,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"13.7942,-88.8965",0.02
,Argentina,Argentina,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-38.4161,-63.6167",0.02
,Mozambique,Mozambique,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-18.665695,35.529562",0.02
New Caledonia,France,France - New Caledonia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-20.9043,165.618",0.02
Mayotte,France,France - Mayotte,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-12.8275,45.1662",0.02
,Syria,Syria,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"34.802075,38.99681500000001",0.02
Hebei,China,China - Hebei,2020-01-22,1,0,0,1,0,0,0.0,0.0,0.0,0.0,"39.549,116.1306",0.02
Guadeloupe,France,France - Guadeloupe,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"16.25,-61.5833",0.02
Australian Capital Territory,Australia,Australia - Australian Capital Territory,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-35.4735,149.0124",0.02
French Polynesia,France,France - French Polynesia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-17.6797,149.4068",0.02
French Guiana,France,France - French Guiana,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"3.9339,-53.1258",0.02
,Timor-Leste,Timor-Leste,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-8.874217,125.727539",0.02
Heilongjiang,China,China - Heilongjiang,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"47.861999999999995,127.7615",0.02
,Belize,Belize,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"13.1939,-59.5432",0.02
,Finland,Finland,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"64.0,26.0",0.02
,Fiji,Fiji,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-17.7134,178.065",0.02
Henan,China,China - Henan,2020-01-22,5,0,0,5,0,0,0.0,0.0,0.0,0.0,"33.882,113.61399999999999",0.02
,Ethiopia,Ethiopia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"9.145,40.4897",0.02
,Armenia,Armenia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"40.0691,45.0382",0.02
Recovered,Canada,Canada - Recovered,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"0.0,0.0",0.02
,Eswatini,Eswatini,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-26.5225,31.4659",0.02
,Laos,Laos,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"19.856270000000002,102.495496",0.02
,Estonia,Estonia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"58.5953,25.0136",0.02
Hong Kong,China,China - Hong Kong,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"22.3,114.2",0.02
,Libya,Libya,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"26.3351,17.228331",0.02
,Eritrea,Eritrea,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"15.1794,39.7823",0.02
,Equatorial Guinea,Equatorial Guinea,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"1.5,10.0",0.02
